what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1767886417580
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1767886417581
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1767886417581
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1767886417581
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1767886417582
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1767886417582
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1767886417582
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1767886417582
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1767886417584
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1767886417584
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1767886417584
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1767886417585
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1767886417585
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1767886417586
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1767886417595
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1767886417595
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1767886417596
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1767886417596
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1767886417596
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1767886417597
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1767886417597
os,sysinfo,,,"win32",1767886417599
arch,sysinfo,,,"x86",1767886417599
ws,sysinfo,,,"win32",1767886417599
locale,sysinfo,,,"en_US",1767886417599
processors,sysinfo,,,"12",1767886417599
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1767886417599
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1767886417599
java.specification.name,sysinfo,,,"Java Platform API Specification",1767886417599
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1767886417599
java.specification.version,sysinfo,,,"1.6",1767886417599
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1767886417599
java.version,sysinfo,,,"1.6.0_23",1767886417599
java.vm.info,sysinfo,,,"mixed mode",1767886417599
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1767886417599
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1767886417599
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1767886417599
java.vm.specification.version,sysinfo,,,"1.0",1767886417599
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1767886417599
java.vm.version,sysinfo,,,"19.0-b09",1767886417599
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1767886418234
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767886421836
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1767886422097
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1767886422138
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767886432798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886432851
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1767886432960
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1767886432992
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1767886432992
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1767886432992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886434983
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1767886443750
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1767886443754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886446299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886448439
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1767886456523
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1767886456523
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1767886459243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886460428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886460764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886475391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886483114
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767886483132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886488556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886490770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886498823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886499009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886523557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886523855
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767886523869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886526281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886528956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886534199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886535318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886538959
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1767886539074
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767886539130
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1767886539382
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1767887149513
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1767887149516
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1767887149517
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1767887149518
